ოლქი - სუბიექტი,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,22,23,25,26,27,28,30,41
#24 მაჟ. ოლქი,"1014
(3.34%)","3
(0%)","1174
(3.87%)","24
(0.07%)","9978
(32.95%)","320
(1.05%)","55
(0.18%)","1456
(4.8%)","1294
(4.27%)","18
(0.05%)","37
(0.12%)","111
(0.36%)","19
(0.06%)","19
(0.06%)","13
(0.04%)","18
(0.05%)","160
(0.52%)","5
(0.01%)","6
(0.01%)","6
(0.01%)","402
(1.32%)","660
(2.17%)","15
(0.04%)","21
(0.06%)","13452
(44.42%)"
#25 მაჟ. ოლქი,"684
(2.35%)","7
(0.02%)","1019
(3.5%)","19
(0.06%)","7531
(25.9%)","466
(1.6%)","17
(0.05%)","1598
(5.49%)","891
(3.06%)","5
(0.01%)","20
(0.06%)","20
(0.06%)","6
(0.02%)","16
(0.05%)","10
(0.03%)","20
(0.06%)","230
(0.79%)","15
(0.05%)","5
(0.01%)","3
(0.01%)","143
(0.49%)","707
(2.43%)","13
(0.04%)","8
(0.02%)","15621
(53.72%)"
#26 მაჟ. ოლქი,"707
(2.51%)","9
(0.03%)","1807
(6.43%)","23
(0.08%)","8511
(30.31%)","202
(0.71%)","24
(0.08%)","960
(3.41%)","779
(2.77%)","21
(0.07%)","20
(0.07%)","65
(0.23%)","10
(0.03%)","38
(0.13%)","41
(0.14%)","35
(0.12%)","59
(0.21%)","22
(0.07%)","29
(0.1%)","15
(0.05%)","77
(0.27%)","2999
(10.68%)","17
(0.06%)","21
(0.07%)","11583
(41.25%)"
#27 მაჟ. ოლქი,"1324
(4.67%)","9
(0.03%)","730
(2.57%)","26
(0.09%)","10231
(36.13%)","223
(0.78%)","16
(0.05%)","1634
(5.77%)","1064
(3.75%)","7
(0.02%)","36
(0.12%)","64
(0.22%)","4
(0.01%)","24
(0.08%)","21
(0.07%)","42
(0.14%)","335
(1.18%)","7
(0.02%)","9
(0.03%)","4
(0.01%)","417
(1.47%)","1045
(3.69%)","11
(0.03%)","7
(0.02%)","11021
(38.92%)"
#28 მაჟ. ოლქი,"1348
(5.29%)","7
(0.02%)","786
(3.09%)","31
(0.12%)","8293
(32.6%)","228
(0.89%)","20
(0.07%)","733
(2.88%)","1194
(4.69%)","10
(0.03%)","15
(0.05%)","55
(0.21%)","9
(0.03%)","13
(0.05%)","5
(0.01%)","15
(0.05%)","330
(1.29%)","12
(0.04%)","10
(0.03%)","12
(0.04%)","256
(1%)","439
(1.72%)","7
(0.02%)","3
(0.01%)","11604
(45.62%)"
#29 მაჟ. ოლქი,"854
(3.29%)","16
(0.06%)","865
(3.33%)","33
(0.12%)","7818
(30.15%)","380
(1.46%)","25
(0.09%)","1712
(6.6%)","1128
(4.35%)","6
(0.02%)","102
(0.39%)","23
(0.08%)","15
(0.05%)","16
(0.06%)","28
(0.1%)","27
(0.1%)","58
(0.22%)","26
(0.1%)","19
(0.07%)","6
(0.02%)","224
(0.86%)","1225
(4.72%)","40
(0.15%)","5
(0.01%)","11275
(43.48%)"
#30 მაჟ. ოლქი,"697
(2.8%)","12
(0.04%)","590
(2.37%)","24
(0.09%)","8115
(32.69%)","325
(1.3%)","17
(0.06%)","1583
(6.37%)","1616
(6.51%)","18
(0.07%)","70
(0.28%)","39
(0.15%)","10
(0.04%)","13
(0.05%)","31
(0.12%)","24
(0.09%)","44
(0.17%)","13
(0.05%)","6
(0.02%)","8
(0.03%)","110
(0.44%)","1140
(4.59%)","36
(0.14%)","11
(0.04%)","10268
(41.36%)"
#31 მაჟ. ოლქი,"123
(0.79%)","2
(0.01%)","260
(1.67%)","12
(0.07%)","5396
(34.76%)","165
(1.06%)","47
(0.3%)","641
(4.13%)","384
(2.47%)","10
(0.06%)","29
(0.18%)","30
(0.19%)","9
(0.05%)","16
(0.1%)","7
(0.04%)","17
(0.1%)","45
(0.28%)","2
(0.01%)","0
(0%)","7
(0.04%)","11
(0.07%)","270
(1.73%)","2
(0.01%)","7
(0.04%)","8028
(51.72%)"
#32 მაჟ. ოლქი,"410
(2.04%)","6
(0.02%)","627
(3.12%)","15
(0.07%)","5269
(26.25%)","117
(0.58%)","21
(0.1%)","1328
(6.61%)","562
(2.8%)","6
(0.02%)","25
(0.12%)","50
(0.24%)","7
(0.03%)","5
(0.02%)","8
(0.03%)","15
(0.07%)","77
(0.38%)","5
(0.02%)","4
(0.01%)","1
(0%)","26
(0.12%)","428
(2.13%)","15
(0.07%)","6
(0.02%)","11033
(54.98%)"
#33 მაჟ. ოლქი,"505
(2.36%)","15
(0.07%)","437
(2.04%)","27
(0.12%)","8686
(40.67%)","78
(0.36%)","267
(1.25%)","373
(1.74%)","252
(1.18%)","16
(0.07%)","10
(0.04%)","42
(0.19%)","8
(0.03%)","7
(0.03%)","9
(0.04%)","12
(0.05%)","32
(0.14%)","7
(0.03%)","13
(0.06%)","4
(0.01%)","10
(0.04%)","232
(1.08%)","16
(0.07%)","8
(0.03%)","10289
(48.18%)"
